0000263,Kirstie Alley,F,1951,~,67,7000,1995,44,~
0001378,Anjelica Huston,F,1951,~,67,6270,2010,59,Won
0000651,Sissy Spacek,F,1949,~,68,6834,2011,62,Won
0000658,Meryl Streep,F,1949,~,69,7018,1998,49,Won
0000244,Sigourney Weaver,F,1949,~,69,7021,1999,50,Nom
0000870,Kathy Bates,F,1948,~,70,6927,2016,68,Won
0000335,Glenn Close,F,1947,~,71,7000,2009,62,Nom
0001157,Patty Duke,F,1946,2016,69,7000,2004,58,Won
0000398,Sally Field,F,1946,~,72,6767,2014,68,Won
0000215,Susan Sarandon,F,1946,~,72,6801,2002,56,Won
0000443,Goldie Hawn,F,1945,~,73,6201,2017,72,Won
0566478,Patty McCormack,F,1945,~,73,6312,1960,15,Nom
0000545,Helen Mirren,F,1945,~,73,6714,2013,68,Won
0002088,Annette Funicello,F,1942,2013,70,6834,1993,51,~
